SCIENTIFIC_NAME,FAMILY,SUB_SPECIES,Synonym,AUTHOR,ENGLISH_COMMON_NAME,Growth_form,GBIF_record_number,ROM__record_number,Combined_abund_scaled,S_RANK,COSEWIC_STATUS,G_RANK,EXOTIC_NATIVE,EXOTIC_RANK,Cultivated,Year_first_record_exotic
Aquilegia vulgaris,Ranunculaceae,,,L.,European Columbine,Herbaceous,6,NA,3,SNA,,GNA,E,SE3,,NA
Arabidopsis thaliana,Brassicaceae,,,(L.) Heynh.,Mouse-ear Cress,Herbaceous,2,NA,1,SNA,,GNA,E,SE5,,NA
Arabis canadensis,Brassicaceae,,,L.,Sicklepod Rockcress,Herbaceous,NA,NA,NA,S5,,G5,N,,,NA
Arabis divaricarpa,Brassicaceae,,,A. Nelson (pro sp.),spreadingpod rockcress,Herbaceous,NA,8,20,S5,,G5,N,,,NA
Arabis glabra,Brassicaceae,,Turritis glabra,(L.) Bernh.,Tower rockcress,Herbaceous,NA,NA,NA,S5,,G5,U,,,NA
Arabis hirsuta,Brassicaceae,,,(L.) Scop.,hairy rock-cress,Herbaceous,1,5,7,SNA,,GNA,E,SE?,,NA
Arabis pycnocarpa,Brassicaceae,,,M. Hopk.,Cream-flowered Rockcress,Herbaceous,1,NA,1,S5,,G5,N,,,NA
Aralia nudicaulis,Araliaceae,,,L.,Wild Sarsaparilla,Herbaceous,24,14,23,S5,,G5,N,,,NA
Aralia racemosa,Araliaceae,racemosa,,L.,American Spikenard,Herbaceous,10,14,20,S5,,G5,N,,,NA
Aralia spinosa,Araliaceae,,,L.,Hercules'-club,Shrub,NA,7,18,SNA,,G5,E,SE1,,NA
Arceuthobium pusillum,Santalaceae,,,Peck,Eastern Dwarf Mistletoe,Shrub,3,NA,2,S5,,G5,N,,,NA
Arctium lappa,Asteraceae,,,L.,Great Burdock,Herbaceous,42,3,14,SNA,,GNA,E,SE5,,1921
Arctium minus,Asteraceae,,,Bernh.,Common Burdock,Herbaceous,42,15,29,SNA,,GNA,E,SE5,,1892
Arctium tomentosum,Asteraceae,,,P. Mill.,Woolly Burdock,Herbaceous,1,NA,1,SNA,,GNA,E,SE1,,NA
Arctostaphylos uva-ursi,Ericaceae,,,(L.) Spreng.,Common Bearberry,Shrub,2,4,6,S5,,G5,N,,,NA
Arenaria serpyllifolia,Caryophyllaceae,,,L.,Thyme-leaved Sandwort,Herbaceous,6,8,12,SNA,,GNA,E,SE5,,1911
Argentina pacifica,Rosaceae,,Potentilla pacifica,Howell,Silverweed,Herbaceous,NA,1,3,S?,,G?,N,,,NA
Arisaema triphyllum,Araceae,,,(L.) Schott,Jack-in-the-pulpit,Herbaceous,73,30,54,S5,,G5,N,,,NA
Armoracia rusticana,Brassicaceae,,,"P.Gaertn., B.Mey. & Scherb.",Horseradish,Herbaceous,NA,1,3,SNA,,GNA,E,SE4,,1979
Aronia melanocarpa,Rosaceae,,,(Michx.) Ell.,Black Chokeberry,Shrub,7,4,7,S5,,G5,N,,,NA
Aronia prunifolia,Rosaceae,,,(Marshall) Rehder,purple chokeberry,Shrub,NA,2,5,S?,,G?,N,,,NA
Arrhenatherum elatius,Poaceae,,,(L.) P.Beauv. ex J.Presl & C.Presl.,Tall Oatgrass,Graminoid,NA,2,5,SNA,,GNA,E,SE4,,1894
Artemisia abrotanum,Asteraceae,,,L.,Southern Wormwood,Herbaceous,NA,1,3,SNA,,GNA,E,SE1,,1897
Artemisia absinthium,Asteraceae,,,L.,Absinthe Wormwood,Herbaceous,NA,NA,NA,SNA,,GNA,E,SE5, ,NA
Artemisia annua,Asteraceae,,,L.,Annual Wormwood,Herbaceous,1,2,3,SNA,,GNA,E,SE1,,1894
Artemisia biennis,Asteraceae,,,Willd.,Biennial Wormwood,Herbaceous,5,18,24,SNA,,G5,E,SE5,,NA
Artemisia campestris,Asteraceae,caudata,,L.,Field Wormwood,Herbaceous,1,21,26,S5,,G5,N,,,NA
Artemisia ludoviciana,Asteraceae,,,Nutt.,Silver Wormwood,Herbaceous,2,5,7,S?,,G5,N,,,NA
Artemisia pontica,Asteraceae,,,L.,Roman Wormwood,Herbaceous,NA,1,3,SNA,,GNA,E,SE2,,1910
Artemisia vulgaris,Asteraceae,,,L.,Common Wormwood,Herbaceous,10,8,13,SNA,,GNA,E,SE5,,NA
Aruncus dioicus,Rosaceae,,,(Walt.) Fern.,Common Goatsbeard,Herbaceous,1,NA,1,SNA,,G5,E,SE1,,NA
Asarum canadense,Aristolochiaceae,,,L.,Canada Wild-ginger,Herbaceous,31,21,33,S5,,G5,N,,,NA
Asclepias exaltata,Apocynaceae,,,L.,Poke Milkweed,Herbaceous,5,16,21,S4,,G5,N,,,NA
Asclepias incarnata,Apocynaceae, incarnata,,L.,Swamp Milkweed,Herbaceous,31,14,25,S5,,G5,N,,,NA
Asclepias sullivantii,Apocynaceae,,,Engelm. ex A.Gray,Prairie Milkweed,Herbaceous,NA,2,5,S2,,G5,N,,,NA
Asclepias syriaca,Apocynaceae,,,L.,Common Milkweed,Herbaceous,141,18,55,S5,,G5,N,,,NA
Asclepias tuberosa,Apocynaceae,,,L.,Butterfly Milkweed,Herbaceous,32,13,24,S4,,G5,N,,,NA
Asimina triloba,Annonaceae,,,(L.) Dunal,Pawpaw,Tree,1,1,2,S3,,G5,N,,,NA
Asparagus officinalis,Asparagaceae,,,L.,Garden Asparagus,Herbaceous,14,4,9,SNA,,G5,E,SE5,,1972
Astilbe biternata,Saxifragaceae,,,(Vent.) Britton,False Goatsbeard,Herbaceous,NA,1,3,S?,,G?,N,,,NA
Astragalus canadensis,Fabaceae,,,L.,Canada Milk-vetch,Herbaceous,1,NA,1,S4,,G5,N,,,NA
Astragalus neglectus,Fabaceae,,,(Torr. & Gray) Sheldon,Neglected Milk-vetch,Herbaceous,1,NA,1,S3,,G4,N,,,NA
Atocion armeria,Caryophyllaceae,,,(Linnaeus) Rafinesque,Sweet William Catchfly,Herbaceous,2,NA,1,SNA,,GNA,E,SE2,,NA
Atriplex patula,Amaranthaceae,,,L.,Spear Saltbush,Herbaceous,7,NA,4,SNA,,G5,E,SE5,,NA
Atriplex prostrata,Amaranthaceae,,,Boucher ex DC.,Creeping Saltbush,Herbaceous,NA,NA,NA,SNA,,G5,E,SE5,,NA
Atriplex rosea,Amaranthaceae,,,L.,Redscale Saltbush,Herbaceous,5,NA,3,SNA,,GNA,E,SEX,,NA
Atropa belladonna,Solanaceae,,,L.,deadly nightshade,Herbaceous,NA,2,5,SNA,,GNA,E,SE?,,NA
Aureolaria flava,Orobanchaceae,,,(L.) Farw.,Smooth Yellow False Foxglove,Herbaceous,NA,8,20,S2,THR,G5,N,,,NA
Aureolaria pedicularia,Orobanchaceae,,,(L.) Raf. ex Farw.,Fern-leaved Yellow False Foxglove,Herbaceous,NA,8,20,S2,THR,G5,N,,,NA
Avena fatua,Poaceae,,,L.,Common Wild Oats,Graminoid,1,3,4,SNA,,GNA,E,SE3,,1927
